hidden_size,lr,dropout,l2,initial_validation_accuracy,best_validation_accuracy,test_accuracy_at_best_validation,test_loss_at_best_validation,train_accuracy_at_best_validation,train_loss_at_best_validation
128,1e-05,0.0,0.0,0.035288,0.730433,0.727644,0.967951,0.732933,0.953594
128,1e-05,0.0,0.0001,0.035288,0.730385,0.727212,0.969463,0.732558,0.955407
128,1e-05,0.3,0.0,0.035288,0.727260,0.726202,0.981389,0.728740,0.970204
128,1e-05,0.3,0.0001,0.035288,0.726827,0.726250,0.981904,0.729067,0.970691
256,0.01,0.0,0.0,0.036442,0.843750,0.841010,0.753103,0.877394,0.425499
256,0.01,0.0,0.0001,0.036442,0.834038,0.830673,0.579423,0.841202,0.515086
256,0.01,0.3,0.0,0.036442,0.832260,0.831106,0.686627,0.849808,0.500234
256,0.01,0.3,0.0001,0.036442,0.811490,0.808029,0.651996,0.819087,0.594589
256,0.001,0.0,0.0,0.036442,0.901202,0.898846,0.340025,0.943587,0.159185
256,0.001,0.0,0.0001,0.036442,0.905865,0.903029,0.313314,0.952279,0.139790
256,0.001,0.3,0.0,0.036442,0.905288,0.904808,0.337461,0.951702,0.139066
256,0.001,0.3,0.0001,0.036442,0.905481,0.906538,0.301579,0.936048,0.194678
256,0.0001,0.0,0.0,0.036442,0.897692,0.896827,0.337528,0.925442,0.242856
256,0.0001,0.0,0.0001,0.036442,0.896298,0.896106,0.341991,0.922029,0.258840
256,0.0001,0.3,0.0,0.036442,0.896346,0.896779,0.344272,0.915798,0.273547
256,0.0001,0.3,0.0001,0.036442,0.895337,0.892933,0.354304,0.911952,0.292268
256,1e-05,0.0,0.0,0.036442,0.768365,0.768365,0.833440,0.770596,0.817520
256,1e-05,0.0,0.0001,0.036442,0.767885,0.767356,0.837273,0.769808,0.821630
256,1e-05,0.3,0.0,0.036442,0.766490,0.765385,0.841478,0.767500,0.827537
256,1e-05,0.3,0.0001,0.036442,0.765240,0.764519,0.845282,0.766817,0.831517
